chain,wallet_normalized,top10_count,tokens,meme_ids,star_level,score
solana,A1ECE86o3tz6UWmwMWicrqZmwRZ7RCRzmYYa9okNQRBw,1,$FARTCOIN,8,⭐,1
solana,A5LWdx8V5j826uouysE54Kb5tANG1xrscX9DKbJDTvgG,1,$ZCAT,3,⭐,1
solana,AUGxQoB6b1uacn2srUc96kUK81hBeDkepHRRpZ1KAnGM,1,$WIF,7,⭐,1
solana,AUYLj5kLGUadmhn8kM91KnTJYfHiXGzcQ7TViP8uLLQv,1,$ZCAT,3,⭐,1
solana,AVAZvHLR2PcWpDf8BXY4rVxNHYRBytycHkcB5z5QNXYm,1,$FARTCOIN,8,⭐,1
solana,B2AFVnmSFCr8uKLw85pLyMFr7r8iMK5KzM13L5GDoKqj,1,$MELANIA,9,⭐,1
solana,BBqy6gAVMzRH1S7y9XvBNaS3axRovqe2VgNrgwYc3mYM,1,$PENGU,5,⭐,1
solana,BPjuxgARGFgBoMwJrMrhEmYat4TavCjW9wG9i3UZ1dbZ,1,$ZCAT,3,⭐,1
solana,Bmi9zf27MNN5pjCtyv2Y15TDQoYgcbcmPTxvEoQ6UwWs,1,$STONK,2,⭐,1
solana,BrYRLKDgsP7ZnCD8z6i6h5H2aXuv2mpzf9Pw8jeW1tja,1,$MELANIA,9,⭐,1
solana,Bsuy1srqbPkuAoam7aw1D4LHqU1UVS2ejG2iVdFBYY38,1,$WIF,7,⭐,1
solana,BuV9QKhkfu1pstvwzvWkLejfPTZiqiksWKd6yD33qCaj,1,$PNUT,13,⭐,1
solana,C9hxUFWsx7Vziyg1ksTiBBAYi8Bv1hEUqTVjBEwoyyFC,1,$TRUMP,4,⭐,1
solana,CH9i39Jga5ZTsKKadFd4N9V3GUUXjn3gPxJhePTeoJ22,1,$WIF,7,⭐,1
solana,CJrqXypn562i6fvQJHczixGpq2bme9TpU4WiEZ49Xvh9,1,$WIF,7,⭐,1
solana,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,1,$STONK,2,⭐,1
solana,CreQJ2t94QK5dsxUZGXfPJ8Nx7wA9LHr5chxjSMkbNft,1,$PENGU,5,⭐,1
